condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
nvp_25w_28w,pregnancy_duration_preterm,bmi,16m,360,200,16.6356270950264,1.5242948533016,14.2629510400125,15.5855054576864,16.5986733962026,17.6932895609843,19.12603687764
nvp_25w_28w,pregnancy_duration_preterm,bmi,2y,360,198,16.2170990864878,1.63960616455204,13.7356363330636,15.113278616874,16.1070397012021,17.2363378951418,18.7655656207068
nvp_25w_28w,pregnancy_duration_preterm,bmi,3y,360,195,15.8987324587865,1.68552841905247,13.4970487816544,14.8948871006151,15.7951938171718,16.6605511608779,18.5552646531767
nvp_25w_28w,pregnancy_duration_preterm,bmi,5y,360,165,15.4762308197592,1.81566200604447,13.0889169835044,14.3636885952313,15.2892561983471,16.1979352082592,18.7804130106532
nvp_25w_28w,pregnancy_duration_preterm,bmi,7y,360,176,15.8600143860069,2.00271646756896,13.0737045949602,14.7783565956942,15.5180203699858,16.7128205095658,19.52
nvp_25w_28w,pregnancy_duration_preterm,bmi,8y,360,141,16.3233594069051,2.42134088528197,13.437248051599,14.72,15.7607484963243,17.3010380622837,21.0134051032555
nvp_after_29w,pregnancy_duration_term,length,birth,5057,4895,50.4213784159599,2.02112954168404,47,49,50,52,54
nvp_after_29w,pregnancy_duration_term,length,6w,5057,2968,56.80297548217,2.28244638295843,53,55375,57,58,60.5
nvp_after_29w,pregnancy_duration_term,length,3m,5057,4203,62.0060882556325,2.39633272298833,58,60.5,62,63.5,66
nvp_after_29w,pregnancy_duration_term,length,6m,5057,4246,67.8359696195742,2.48493340340395,64,66,68,69.5,72
nvp_after_29w,pregnancy_duration_term,length,8m,5057,3688,71.331640718229,2.65305619719534,67,69.5,71,73,76
nvp_after_29w,pregnancy_duration_term,length,1y,5057,3685,76.4861132364029,2.73061181382068,72,74.5,76.5,78.2131836394097,81
nvp_after_29w,pregnancy_duration_term,length,16m,5057,2781,80.8206981148051,3.04365916646651,76,78.8653562653563,80.8315202722525,82.9193726410897,86
nvp_after_29w,pregnancy_duration_term,length,2y,5057,2778,88.6813272727397,3.59039277721386,83,86.3426017803666,88.7050981661336,91,94.5
nvp_after_29w,pregnancy_duration_term,length,3y,5057,2845,96.705239155286,3.93561496057704,90,94,96.9256568144499,99,103.188712610975
nvp_after_29w,pregnancy_duration_term,length,5y,5057,2327,113.133759583623,5.14380585208311,105,110,113,116,122
nvp_after_29w,pregnancy_duration_term,length,7y,5057,2398,126.010820658198,5.52879038141384,117,122,126,130,135
nvp_after_29w,pregnancy_duration_term,length,8y,5057,1844,132.381658079737,5.73994442699328,123,129,132,136,142
nvp_after_29w,pregnancy_duration_term,weight,birth,5057,5045,3.61105438311343,0.495463370737807,2.82,3.29,3.6,3.93,4.42
nvp_after_29w,pregnancy_duration_term,weight,6w,5057,3784,4.99928961361852,0.684289075884839,3.9,4.55,4.99,5.45,6.13
nvp_after_29w,pregnancy_duration_term,weight,3m,5057,4279,6.37179292132876,0.817108327002598,5.0995,5815,6.33,6.91,7.77
nvp_after_29w,pregnancy_duration_term,weight,6m,5057,4273,7.91844206872213,0.95727101209421,6463,7.25,7.85,8.55,9.61
nvp_after_29w,pregnancy_duration_term,weight,8m,5057,3722,8.81916979119508,1.04814306497487,7.23,8.08,8.75,9.48,10.65
nvp_after_29w,pregnancy_duration_term,weight,1y,5057,3714,9.93167596978139,1.12873539593146,8.20111417580254,9.14075,9.87,10.63,11.9035
nvp_after_29w,pregnancy_duration_term,weight,16m,5057,2799,10.9094875914965,1.24793989918487,9,10.03,10.85,11.6732931152251,13.0354172045645
nvp_after_29w,pregnancy_duration_term,weight,2y,5057,2773,12.9252579012797,1.54867520277678,10.5,11.9206026586536,12.9,13.9,15.5234043385095
nvp_after_29w,pregnancy_duration_term,weight,3y,5057,2887,15.0584020017323,1.84513702554104,12.2,13.9,15,16,18.0894684163227
nvp_after_29w,pregnancy_duration_term,weight,5y,5057,2309,20.0187956895242,2.89240430718631,16,18,19.9425287356322,21.5621126090404,25
nvp_after_29w,pregnancy_duration_term,weight,7y,5057,2331,25.1997054835314,4.16533473328005,19.8,22.3,25,27.5,32.5
nvp_after_29w,pregnancy_duration_term,weight,8y,5057,1792,28.599946560338,4.84416000355685,22,25,28,31,38
